交易 #,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累積損益 TWD,累積損益 %
5034,空頭出場,2025-03-11 00:55,S_Exit_G,22062,1,1107650,4510,0.41,4580,0.41,-2020,-0.18,1949930,487.48
5034,空頭進場,2025-03-10 22:45,S_Add,22153,1,1107650,4510,0.41,4580,0.41,-2020,-0.18,1949930,487.48
5035,空頭出場,2025-03-11 01:00,S_Exit_Add,22039,1,1106350,4360,0.39,4430,0.40,-3320,-0.30,1954290,488.57
5035,空頭進場,2025-03-10 22:55,S_Add,22127,1,1106350,4360,0.39,4430,0.40,-3320,-0.30,1954290,488.57
5036,空頭出場,2025-03-11 01:00,S_Exit_G,22039,1,1105650,3660,0.33,3730,0.34,-4020,-0.36,1957970,489.49
5036,空頭進場,2025-03-10 23:00,S_G_進,22113,1,1105650,3660,0.33,3730,0.34,-4020,-0.36,1957970,489.49
5037,空頭出場,2025-03-11 01:10,S_Exit_Add,22012,1,1104750,4110,0.37,4180,0.38,-2870,-0.26,1962100,490.53
5037,空頭進場,2025-03-11 00:25,S_G_進,22095,1,1104750,4110,0.37,4180,0.38,-2870,-0.26,1962100,490.53
5038,空頭出場,2025-03-11 01:10,S_Exit_G,22012,1,1103200,2560,0.23,2630,0.24,-420,-0.04,1964680,491.17
5038,空頭進場,2025-03-11 01:00,S_G_進,22064,1,1103200,2560,0.23,2630,0.24,-420,-0.04,1964680,491.17
5039,空頭出場,2025-03-11 09:05,S_Exit,21662,1,1092650,9510,0.87,9580,0.88,-1670,-0.15,1974150,493.54
5039,空頭進場,2025-03-11 08:50,S_Cmd,21853,1,1092650,9510,0.87,9580,0.88,-1670,-0.15,1974150,493.54
5040,空頭出場,2025-03-11 09:50,S_Exit_Add,21947,1,1090350,-7040,-0.65,7280,0.67,-7020,-0.64,1967090,491.77
5040,空頭進場,2025-03-11 08:55,S_Add,21807,1,1090350,-7040,-0.65,7280,0.67,-7020,-0.64,1967090,491.77
5041,空頭出場,2025-03-11 10:20,S_Exit_Add,22038,1,1089000,-12940,-1.19,5930,0.54,-12920,-1.19,1954170,488.54
5041,空頭進場,2025-03-11 09:05,S_Add,21780,1,1089000,-12940,-1.19,5930,0.54,-12920,-1.19,1954170,488.54
5042,空頭出場,2025-03-11 11:10,Trend Rev,22050,1,1084450,-18090,-1.67,630,0.06,-18720,-1.73,1936100,484.03
5042,空頭進場,2025-03-11 09:10,S_Add,21689,1,1084450,-18090,-1.67,630,0.06,-18720,-1.73,1936100,484.03
5043,空頭出場,2025-03-11 11:10,Trend Rev,22050,1,1084900,-17640,-1.63,330,0.03,-18270,-1.68,1918480,479.62
5043,空頭進場,2025-03-11 09:15,S_G_進,21698,1,1084900,-17640,-1.63,330,0.03,-18270,-1.68,1918480,479.62
5044,空頭出場,2025-03-11 23:45,Trend Rev,22058,1,1099000,-3940,-0.36,6180,0.56,-4770,-0.43,1914500,478.63
5044,空頭進場,2025-03-11 22:25,S_Cmd,21980,1,1099000,-3940,-0.36,6180,0.56,-4770,-0.43,1914500,478.63
5045,空頭出場,2025-03-11 23:45,Trend Rev,22058,1,1095700,-7240,-0.66,2880,0.26,-8070,-0.74,1907280,476.82
5045,空頭進場,2025-03-11 22:30,S_Add,21914,1,1095700,-7240,-0.66,2880,0.26,-8070,-0.74,1907280,476.82
5046,空頭出場,2025-03-11 23:45,Trend Rev,22058,1,1094350,-8590,-0.78,1530,0.14,-9420,-0.86,1898710,474.68
5046,空頭進場,2025-03-11 22:40,S_Add,21887,1,1094350,-8590,-0.78,1530,0.14,-9420,-0.86,1898710,474.68
5047,空頭出場,2025-03-12 02:15,Trend Rev,22029,1,1096250,-5240,-0.48,4480,0.41,-5520,-0.50,1893470,473.37
5047,空頭進場,2025-03-12 00:55,S_Cmd,21925,1,1096250,-5240,-0.48,4480,0.41,-5520,-0.50,1893470,473.37
5048,空頭出場,2025-03-12 08:50,Trend Rev,22058,1,1100550,-2390,-0.22,780,0.07,-4770,-0.43,1891080,472.77
5048,空頭進場,2025-03-12 04:05,S_Cmd,22011,1,1100550,-2390,-0.22,780,0.07,-4770,-0.43,1891080,472.77
5049,空頭出場,2025-03-13 09:55,Trend Rev,22375,1,1116850,-1940,-0.17,880,0.08,-2020,-0.18,1889140,472.29
5049,空頭進場,2025-03-13 09:35,S_Cmd,22337,1,1116850,-1940,-0.17,880,0.08,-2020,-0.18,1889140,472.29
5050,空頭出場,2025-03-13 10:55,S_Exit,22196,1,1115500,5660,0.51,5730,0.51,-120,-0.01,1894740,473.68
5050,空頭進場,2025-03-13 10:20,S_Cmd,22310,1,1115500,5660,0.51,5730,0.51,-120,-0.01,1894740,473.68
5051,空頭出場,2025-03-13 10:55,S_Exit_G,22196,1,1113850,4010,0.36,4080,0.37,-1320,-0.12,1898770,474.69
5051,空頭進場,2025-03-13 10:35,S_Add,22277,1,1113850,4010,0.36,4080,0.37,-1320,-0.12,1898770,474.69
