交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
32,多頭進場,2022-02-16 10:10,L_Cmd,18188,1,909400,-2490,-0.27,1330,0.15,-2470,-0.27,3850,0.96
33,多頭出場,2022-02-16 12:30,L_Exit_Add,18136,1,910350,-3590,-0.39,130,0.01,-3570,-0.39,280,0.07
33,多頭進場,2022-02-16 10:50,L_Add,18207,1,910350,-3590,-0.39,130,0.01,-3570,-0.39,280,0.07
34,多頭出場,2022-02-16 15:00,L_Exit,18265,1,909400,3810,0.42,3880,0.43,-120,-0.01,4050,1.01
34,多頭進場,2022-02-16 13:25,L_Cmd,18188,1,909400,3810,0.42,3880,0.43,-120,-0.01,4050,1.01
35,多頭出場,2022-02-16 15:00,L_Exit_Add,18265,1,910500,2710,0.30,2780,0.31,-320,-0.04,6780,1.70
35,多頭進場,2022-02-16 13:35,L_Add,18210,1,910500,2710,0.30,2780,0.31,-320,-0.04,6780,1.70
36,多頭出場,2022-02-16 15:05,Vol Top,18254,1,911650,1010,0.11,1630,0.18,-370,-0.04,7810,1.95
36,多頭進場,2022-02-16 15:00,L_Add,18233,1,911650,1010,0.11,1630,0.18,-370,-0.04,7810,1.95
37,多頭出場,2022-02-17 03:35,Vol Top,18269,1,911750,1660,0.18,2430,0.27,-720,-0.08,9430,2.36
37,多頭進場,2022-02-17 03:05,L_Cmd,18235,1,911750,1660,0.18,2430,0.27,-720,-0.08,9430,2.36
38,多頭出場,2022-02-17 03:35,Vol Top,18269,1,913300,110,0.01,880,0.10,-320,-0.04,9560,2.39
38,多頭進場,2022-02-17 03:25,L_Add,18266,1,913300,110,0.01,880,0.10,-320,-0.04,9560,2.39
39,多頭出場,2022-02-17 04:00,L_Exit,18299,1,913400,1510,0.17,1580,0.17,-1570,-0.17,11090,2.77
39,多頭進場,2022-02-17 03:30,L_Add,18268,1,913400,1510,0.17,1580,0.17,-1570,-0.17,11090,2.77
40,多頭出場,2022-02-17 11:55,L_Exit,18251,1,916050,-3540,-0.39,430,0.05,-3520,-0.38,7550,1.89
40,多頭進場,2022-02-17 10:05,L_Cmd,18321,1,916050,-3540,-0.39,430,0.05,-3520,-0.38,7550,1.89
41,空頭出場,2022-02-18 04:15,S_Exit,18074,1,905550,1810,0.20,1880,0.21,-320,-0.04,9340,2.34
41,空頭進場,2022-02-18 04:05,S_Cmd,18111,1,905550,1810,0.20,1880,0.21,-320,-0.04,9340,2.34
42,空頭出場,2022-02-18 09:30,S_Exit_Add,18133,1,903800,-2890,-0.32,1830,0.20,-2870,-0.32,6450,1.61
42,空頭進場,2022-02-18 04:15,S_Add,18076,1,903800,-2890,-0.32,1830,0.20,-2870,-0.32,6450,1.61
43,空頭出場,2022-02-18 09:30,S_Exit_Add,18151,1,902900,-4690,-0.52,930,0.10,-4670,-0.52,1780,0.45
43,空頭進場,2022-02-18 08:50,S_Add,18058,1,902900,-4690,-0.52,930,0.10,-4670,-0.52,1780,0.45
44,多頭出場,2022-02-18 10:35,Trend Rev,18175,1,909950,-1240,-0.14,380,0.04,-1470,-0.16,540,0.14
44,多頭進場,2022-02-18 09:55,L_Cmd,18199,1,909950,-1240,-0.14,380,0.04,-1470,-0.16,540,0.14
45,多頭出場,2022-02-18 15:35,Trend Rev,18195,1,911400,-1690,-0.19,1280,0.14,-2020,-0.22,-1150,-0.29
45,多頭進場,2022-02-18 11:30,L_Cmd,18228,1,911400,-1690,-0.19,1280,0.14,-2020,-0.22,-1150,-0.29
46,空頭出場,2022-02-19 03:00,S_Exit,18149,1,905100,-2390,-0.26,230,0.03,-2370,-0.26,-3540,-0.88
46,空頭進場,2022-02-19 00:05,S_Cmd,18102,1,905100,-2390,-0.26,230,0.03,-2370,-0.26,-3540,-0.88
47,空頭出場,2022-02-21 08:55,S_Exit,18071,1,899550,-4040,-0.45,630,0.07,-4020,-0.45,-7580,-1.90
47,空頭進場,2022-02-21 08:50,S_Cmd,17991,1,899550,-4040,-0.45,630,0.07,-4020,-0.45,-7580,-1.90
48,空頭出場,2022-02-22 02:30,S_Exit,18054,1,905050,2310,0.26,2380,0.26,-870,-0.10,-5270,-1.32
