交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,報酬 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %,持續時間（K線）
23,空頭進場,2022-01-07 10:10,S_Add,18162,1,908100,2860,0.31,2930,0.32,-3720,-0.41,-2760,-0.69,148
24,空頭出場,2022-01-07 23:40,S_Exit_Add,18104,1,907650,2410,0.27,2480,0.27,-2120,-0.23,-330,-0.08,106
24,空頭進場,2022-01-07 13:40,S_Add,18153,1,907650,2410,0.27,2480,0.27,-2120,-0.23,-330,-0.08,106
25,空頭出場,2022-01-08 00:50,S_Exit_Add,18151,1,905450,-2140,-0.24,2330,0.26,-2120,-0.23,-2470,-0.62,14
25,空頭進場,2022-01-07 23:40,S_Add,18109,1,905450,-2140,-0.24,2330,0.26,-2120,-0.23,-2470,-0.62,14
26,空頭出場,2022-01-08 00:55,Trend Rev,18165,1,903650,-4640,-0.51,530,0.06,-4620,-0.51,-7090,-1.77,13
26,空頭進場,2022-01-07 23:50,S_Add,18073,1,903650,-4640,-0.51,530,0.06,-4620,-0.51,-7090,-1.77,13
27,空頭出場,2022-01-10 08:55,S_Exit,18023,1,903750,2560,0.28,2630,0.29,-20,0.00,-4550,-1.14,1
27,空頭進場,2022-01-10 08:50,S_Cmd,18075,1,903750,2560,0.28,2630,0.29,-20,0.00,-4550,-1.14,1
28,空頭出場,2022-01-10 09:20,S_Exit_Add,18129,1,902400,-4090,-0.45,1280,0.14,-4070,-0.45,-8620,-2.15,5
28,空頭進場,2022-01-10 08:55,S_Add,18048,1,902400,-4090,-0.45,1280,0.14,-4070,-0.45,-8620,-2.15,5
29,空頭出場,2022-01-10 22:35,S_Exit,18176,1,910350,1510,0.17,1580,0.17,-920,-0.10,-7130,-1.78,3
29,空頭進場,2022-01-10 22:20,S_Cmd,18207,1,910350,1510,0.17,1580,0.17,-920,-0.10,-7130,-1.78,3
30,空頭出場,2022-01-10 23:35,S_Exit_Add,18134,1,909200,2460,0.27,2530,0.28,-720,-0.08,-4710,-1.18,12
30,空頭進場,2022-01-10 22:35,S_Add,18184,1,909200,2460,0.27,2530,0.28,-720,-0.08,-4710,-1.18,12
31,空頭出場,2022-01-10 23:40,S_Exit_G,18115,1,908050,2260,0.25,2330,0.26,-970,-0.11,-2450,-0.61,7
31,空頭進場,2022-01-10 23:05,S_Add,18161,1,908050,2260,0.25,2330,0.26,-970,-0.11,-2450,-0.61,7
32,空頭出場,2022-01-10 23:45,S_Exit_Add,18106,1,907300,1960,0.22,2030,0.22,-920,-0.10,-490,-0.12,6
32,空頭進場,2022-01-10 23:15,S_Add,18146,1,907300,1960,0.22,2030,0.22,-920,-0.10,-490,-0.12,6
33,空頭出場,2022-01-10 23:45,S_Exit_G,18106,1,907300,1960,0.22,2030,0.22,-920,-0.10,1490,0.37,5
33,空頭進場,2022-01-10 23:20,S_G_進,18146,1,907300,1960,0.22,2030,0.22,-920,-0.10,1490,0.37,5
34,空頭出場,2022-01-11 01:40,S_Exit_G,18092,1,906700,2060,0.23,2130,0.23,-720,-0.08,3550,0.89,24
34,空頭進場,2022-01-10 23:40,S_G_進,18134,1,906700,2060,0.23,2130,0.23,-720,-0.08,3550,0.89,24
35,空頭出場,2022-01-11 01:40,S_Exit_Add,18092,1,905950,1310,0.14,1380,0.15,-1470,-0.16,4880,1.22,23
35,空頭進場,2022-01-10 23:45,S_G_進,18119,1,905950,1310,0.14,1380,0.15,-1470,-0.16,4880,1.22,23
36,空頭出場,2022-01-11 03:35,Trend Rev,18185,1,905800,-3490,-0.39,1230,0.14,-3470,-0.38,1410,0.35,45
36,空頭進場,2022-01-10 23:50,S_Add,18116,1,905800,-3490,-0.39,1230,0.14,-3470,-0.38,1410,0.35,45
37,空頭出場,2022-01-11 10:10,S_Exit,18185,1,906050,-3240,-0.36,930,0.10,-3220,-0.36,-1830,-0.46,2
37,空頭進場,2022-01-11 10:00,S_Cmd,18121,1,906050,-3240,-0.36,930,0.10,-3220,-0.36,-1830,-0.46,2
38,多頭出場,2022-01-11 16:35,L_Cmd_Fast,18220,1,914000,-3040,-0.33,30,0.00,-3170,-0.35,-4870,-1.22,20
38,多頭進場,2022-01-11 13:45,L_Cmd,18280,1,914000,-3040,-0.33,30,0.00,-3170,-0.35,-4870,-1.22,20
39,多頭出場,2022-01-11 23:45,L_Cmd_Fast,18258,1,913450,-590,-0.06,1430,0.16,-770,-0.08,-5480,-1.37,9
39,多頭進場,2022-01-11 23:00,L_Cmd,18269,1,913450,-590,-0.06,1430,0.16,-770,-0.08,-5480,-1.37,9
40,多頭出場,2022-01-12 02:10,L_Exit_Add,18353,1,914450,3160,0.35,3230,0.35,-1770,-0.19,-2360,-0.59,37
40,多頭進場,2022-01-11 23:05,L_Add,18289,1,914450,3160,0.35,3230,0.35,-1770,-0.19,-2360,-0.59,37
41,多頭出場,2022-01-12 03:05,L_Exit_G,18358,1,916200,1660,0.18,1880,0.21,-170,-0.02,-700,-0.17,34
41,多頭進場,2022-01-12 00:15,L_Add,18324,1,916200,1660,0.18,1880,0.21,-170,-0.02,-700,-0.17,34
42,多頭出場,2022-01-12 03:45,L_Exit_G,18376,1,916450,2310,0.25,2380,0.26,-420,-0.05,1610,0.40,41
42,多頭進場,2022-01-12 00:20,L_Add,18329,1,916450,2310,0.25,2380,0.26,-420,-0.05,1610,0.40,41
43,多頭出場,2022-01-12 03:45,L_Exit_G,18376,1,917000,1760,0.19,1830,0.20,-970,-0.11,3390,0.85,37
43,多頭進場,2022-01-12 00:40,L_G_進,18340,1,917000,1760,0.19,1830,0.20,-970,-0.11,3390,0.85,37
44,多頭出場,2022-01-12 03:55,L_Exit_Add,18381,1,917900,1110,0.12,1180,0.13,-570,-0.06,4500,1.13,10
44,多頭進場,2022-01-12 03:05,L_G_進,18358,1,917900,1110,0.12,1180,0.13,-570,-0.06,4500,1.13,10
45,多頭出場,2022-01-12 03:55,L_Exit_Add,18381,1,918000,1010,0.11,1080,0.12,-320,-0.03,5530,1.38,7
45,多頭進場,2022-01-12 03:20,L_G_進,18360,1,918000,1010,0.11,1080,0.12,-320,-0.03,5530,1.38,7
46,多頭出場,2022-01-12 08:45,L_Exit_Add,18416,1,918900,1860,0.20,1930,0.21,-320,-0.03,7410,1.85,13
46,多頭進場,2022-01-12 03:55,L_Add,18378,1,918900,1860,0.20,1930,0.21,-320,-0.03,7410,1.85,13
47,多頭出場,2022-01-12 12:45,L_Cmd_Fast,18316,1,916550,-790,-0.09,180,0.02,-770,-0.08,6620,1.65,1
47,多頭進場,2022-01-12 12:40,L_Cmd,18331,1,916550,-790,-0.09,180,0.02,-770,-0.08,6620,1.65,1
48,多頭出場,2022-01-12 20:00,L_Cmd_Fast,18375,1,918000,710,0.08,1680,0.18,-370,-0.04,7330,1.83,64
48,多頭進場,2022-01-12 13:30,L_Cmd,18360,1,918000,710,0.08,1680,0.18,-370,-0.04,7330,1.83,64
49,多頭出場,2022-01-12 23:40,L_Cmd_Fast,18407,1,921500,-1190,-0.13,730,0.08,-1270,-0.14,6120,1.53,13
49,多頭進場,2022-01-12 22:35,L_Cmd,18430,1,921500,-1190,-0.13,730,0.08,-1270,-0.14,6120,1.53,13
50,多頭出場,2022-01-13 00:05,L_Exit_Add,18387,1,922150,-2840,-0.31,80,0.01,-2820,-0.31,3300,0.83,13
50,多頭進場,2022-01-12 23:00,L_Add,18443,1,922150,-2840,-0.31,80,0.01,-2820,-0.31,3300,0.83,13
51,多頭出場,2022-01-13 01:10,L_Cmd_Fast,18399,1,921050,-1140,-0.12,30,0.00,-1220,-0.13,2160,0.54,3
51,多頭進場,2022-01-13 00:55,L_Cmd,18421,1,921050,-1140,-0.12,30,0.00,-1220,-0.13,2160,0.54,3
52,多頭出場,2022-01-13 22:30,L_Exit,18602,1,928450,1610,0.17,1680,0.18,-120,-0.01,3710,0.93,15
52,多頭進場,2022-01-13 21:15,L_Cmd,18569,1,928450,1610,0.17,1680,0.18,-120,-0.01,3710,0.93,15
53,多頭出場,2022-01-13 22:30,L_Exit_Add,18602,1,929000,1060,0.11,1130,0.12,-470,-0.05,4790,1.20,11
53,多頭進場,2022-01-13 21:35,L_Add,18580,1,929000,1060,0.11,1130,0.12,-470,-0.05,4790,1.20,11
54,多頭出場,2022-01-13 22:30,L_Exit_G,18602,1,929200,860,0.09,930,0.10,-670,-0.07,5670,1.42,8
54,多頭進場,2022-01-13 21:50,L_Add,18584,1,929200,860,0.09,930,0.10,-670,-0.07,5670,1.42,8
55,多頭出場,2022-01-13 22:35,L_Exit_Add,18620,1,929250,1710,0.18,1780,0.19,-720,-0.08,7380,1.85,8
55,多頭進場,2022-01-13 21:55,L_G_進,18585,1,929250,1710,0.18,1780,0.19,-720,-0.08,7380,1.85,8
56,多頭出場,2022-01-13 22:50,L_Exit_Add,18642,1,929700,2360,0.25,2430,0.26,-220,-0.02,9700,2.43,3
56,多頭進場,2022-01-13 22:35,L_Add,18594,1,929700,2360,0.25,2430,0.26,-220,-0.02,9700,2.43,3
57,多頭出場,2022-01-13 22:50,L_Exit_G,18642,1,930950,1110,0.12,1180,0.13,-670,-0.07,10830,2.71,2
57,多頭進場,2022-01-13 22:40,L_Add,18619,1,930950,1110,0.12,1180,0.13,-670,-0.07,10830,2.71,2
58,多頭出場,2022-01-13 23:30,L_Exit_Add,18585,1,931050,-1840,-0.20,1430,0.15,-1820,-0.20,8970,2.24,9
58,多頭進場,2022-01-13 22:45,L_Add,18621,1,931050,-1840,-0.20,1430,0.15,-1820,-0.20,8970,2.24,9
59,多頭出場,2022-01-13 23:35,L_G_Cut,18591,1,931100,-1590,-0.17,1380,0.15,-2020,-0.22,7400,1.85,9
