交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,報酬 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %,持續時間（K線）
11,多頭進場,2022-01-04 09:25,L_Cmd,18457,1,922850,-2090,-0.23,1980,0.21,-2070,-0.22,-8710,-2.18,8
12,多頭出場,2022-01-04 16:00,L_Exit_Add,18528,1,924050,2310,0.25,2380,0.26,-3420,-0.37,-6440,-1.61,64
12,多頭進場,2022-01-04 09:30,L_Add,18481,1,924050,2310,0.25,2380,0.26,-3420,-0.37,-6440,-1.61,64
13,多頭出場,2022-01-04 16:25,L_Exit_G,18542,1,924900,2160,0.23,2230,0.24,-370,-0.04,-4260,-1.06,24
13,多頭進場,2022-01-04 13:15,L_Add,18498,1,924900,2160,0.23,2230,0.24,-370,-0.04,-4260,-1.06,24
14,多頭出場,2022-01-04 16:35,L_Exit_Add,18548,1,925750,1610,0.17,1680,0.18,-470,-0.05,-2630,-0.66,23
14,多頭進場,2022-01-04 13:30,L_Add,18515,1,925750,1610,0.17,1680,0.18,-470,-0.05,-2630,-0.66,23
15,多頭出場,2022-01-04 18:35,L_Exit_Add,18562,1,926000,2060,0.22,2130,0.23,-720,-0.08,-550,-0.14,46
15,多頭進場,2022-01-04 13:35,L_G_進,18520,1,926000,2060,0.22,2130,0.23,-720,-0.08,-550,-0.14,46
16,多頭出場,2022-01-04 23:35,L_Cmd_Fast,18549,1,928400,-990,-0.11,380,0.04,-1070,-0.12,-1540,-0.38,11
16,多頭進場,2022-01-04 22:40,L_Cmd,18568,1,928400,-990,-0.11,380,0.04,-1070,-0.12,-1540,-0.38,11
17,多頭出場,2022-01-05 03:55,Trend Rev,18509,1,925500,-90,-0.01,180,0.02,-270,-0.03,-1630,-0.41,1
17,多頭進場,2022-01-05 03:50,L_Cmd,18510,1,925500,-90,-0.01,180,0.02,-270,-0.03,-1630,-0.41,1
18,多頭出場,2022-01-05 09:35,L_Cmd_Fast,18502,1,926600,-1540,-0.17,680,0.07,-1570,-0.17,-3170,-0.79,7
18,多頭進場,2022-01-05 09:00,L_Cmd,18532,1,926600,-1540,-0.17,680,0.07,-1570,-0.17,-3170,-0.79,7
19,空頭出場,2022-01-06 13:25,S_Exit_Add,18325,1,914000,-2290,-0.25,2080,0.23,-2470,-0.27,-5480,-1.37,32
19,空頭進場,2022-01-06 10:45,S_Cmd,18280,1,914000,-2290,-0.25,2080,0.23,-2470,-0.27,-5480,-1.37,32
20,空頭出場,2022-01-06 13:25,S_Exit,18348,1,912200,-5240,-0.57,280,0.03,-5220,-0.57,-10700,-2.67,3
20,空頭進場,2022-01-06 13:10,S_Add,18244,1,912200,-5240,-0.57,280,0.03,-5220,-0.57,-10700,-2.67,3
21,多頭出場,2022-01-07 02:30,L_Cmd_Fast,18394,1,919550,110,0.01,1930,0.21,-670,-0.07,-10590,-2.65,34
21,多頭進場,2022-01-06 23:40,L_Cmd,18391,1,919550,110,0.01,1930,0.21,-670,-0.07,-10590,-2.65,34
22,空頭出場,2022-01-07 15:00,S_Exit,18104,1,910250,5010,0.55,5080,0.56,-1570,-0.17,-5620,-1.40,45
22,空頭進場,2022-01-07 10:05,S_Cmd,18205,1,910250,5010,0.55,5080,0.56,-1570,-0.17,-5620,-1.40,45
23,空頭出場,2022-01-07 20:10,TimeStop,18167,1,908100,-290,-0.03,2930,0.32,-3720,-0.41,-5890,-1.47,106
23,空頭進場,2022-01-07 10:10,S_Add,18162,1,908100,-290,-0.03,2930,0.32,-3720,-0.41,-5890,-1.47,106
24,空頭出場,2022-01-07 23:40,S_Exit_Add,18104,1,907650,2410,0.27,2480,0.27,-2120,-0.23,-3480,-0.87,106
24,空頭進場,2022-01-07 13:40,S_Add,18153,1,907650,2410,0.27,2480,0.27,-2120,-0.23,-3480,-0.87,106
25,空頭出場,2022-01-08 00:50,S_Exit_Add,18151,1,905450,-2140,-0.24,2330,0.26,-2120,-0.23,-5620,-1.40,14
25,空頭進場,2022-01-07 23:40,S_Add,18109,1,905450,-2140,-0.24,2330,0.26,-2120,-0.23,-5620,-1.40,14
26,空頭出場,2022-01-08 00:55,Trend Rev,18165,1,903650,-4640,-0.51,530,0.06,-4620,-0.51,-10240,-2.56,13
26,空頭進場,2022-01-07 23:50,S_Add,18073,1,903650,-4640,-0.51,530,0.06,-4620,-0.51,-10240,-2.56,13
27,空頭出場,2022-01-10 08:55,S_Exit,18023,1,903750,2560,0.28,2630,0.29,-20,0.00,-7700,-1.92,1
27,空頭進場,2022-01-10 08:50,S_Cmd,18075,1,903750,2560,0.28,2630,0.29,-20,0.00,-7700,-1.92,1
28,空頭出場,2022-01-10 09:20,S_Exit_Add,18129,1,902400,-4090,-0.45,1280,0.14,-4070,-0.45,-11770,-2.94,5
28,空頭進場,2022-01-10 08:55,S_Add,18048,1,902400,-4090,-0.45,1280,0.14,-4070,-0.45,-11770,-2.94,5
29,空頭出場,2022-01-10 22:35,S_Exit,18176,1,910350,1510,0.17,1580,0.17,-920,-0.10,-10280,-2.57,3
29,空頭進場,2022-01-10 22:20,S_Cmd,18207,1,910350,1510,0.17,1580,0.17,-920,-0.10,-10280,-2.57,3
30,空頭出場,2022-01-10 23:35,S_Exit_Add,18134,1,909200,2460,0.27,2530,0.28,-720,-0.08,-7860,-1.96,12
30,空頭進場,2022-01-10 22:35,S_Add,18184,1,909200,2460,0.27,2530,0.28,-720,-0.08,-7860,-1.96,12
31,空頭出場,2022-01-10 23:40,S_Exit_G,18115,1,908050,2260,0.25,2330,0.26,-970,-0.11,-5600,-1.40,7
31,空頭進場,2022-01-10 23:05,S_Add,18161,1,908050,2260,0.25,2330,0.26,-970,-0.11,-5600,-1.40,7
32,空頭出場,2022-01-10 23:45,S_Exit_Add,18106,1,907300,1960,0.22,2030,0.22,-920,-0.10,-3640,-0.91,6
32,空頭進場,2022-01-10 23:15,S_Add,18146,1,907300,1960,0.22,2030,0.22,-920,-0.10,-3640,-0.91,6
33,空頭出場,2022-01-10 23:45,S_Exit_G,18106,1,907300,1960,0.22,2030,0.22,-920,-0.10,-1660,-0.41,5
33,空頭進場,2022-01-10 23:20,S_G_進,18146,1,907300,1960,0.22,2030,0.22,-920,-0.10,-1660,-0.41,5
34,空頭出場,2022-01-11 01:40,S_Exit_G,18092,1,906700,2060,0.23,2130,0.23,-720,-0.08,400,0.10,24
34,空頭進場,2022-01-10 23:40,S_G_進,18134,1,906700,2060,0.23,2130,0.23,-720,-0.08,400,0.10,24
35,空頭出場,2022-01-11 01:40,S_Exit_Add,18092,1,905950,1310,0.14,1380,0.15,-1470,-0.16,1730,0.43,23
35,空頭進場,2022-01-10 23:45,S_G_進,18119,1,905950,1310,0.14,1380,0.15,-1470,-0.16,1730,0.43,23
36,空頭出場,2022-01-11 03:35,Trend Rev,18185,1,905800,-3490,-0.39,1230,0.14,-3470,-0.38,-1740,-0.43,45
36,空頭進場,2022-01-10 23:50,S_Add,18116,1,905800,-3490,-0.39,1230,0.14,-3470,-0.38,-1740,-0.43,45
37,空頭出場,2022-01-11 10:10,S_Exit,18185,1,906050,-3240,-0.36,930,0.10,-3220,-0.36,-4980,-1.24,2
37,空頭進場,2022-01-11 10:00,S_Cmd,18121,1,906050,-3240,-0.36,930,0.10,-3220,-0.36,-4980,-1.24,2
38,多頭出場,2022-01-11 16:35,L_Cmd_Fast,18220,1,914000,-3040,-0.33,30,0.00,-3170,-0.35,-8020,-2.00,20
38,多頭進場,2022-01-11 13:45,L_Cmd,18280,1,914000,-3040,-0.33,30,0.00,-3170,-0.35,-8020,-2.00,20
39,多頭出場,2022-01-11 23:45,L_Cmd_Fast,18258,1,913450,-590,-0.06,1430,0.16,-770,-0.08,-8630,-2.16,9
39,多頭進場,2022-01-11 23:00,L_Cmd,18269,1,913450,-590,-0.06,1430,0.16,-770,-0.08,-8630,-2.16,9
40,多頭出場,2022-01-12 02:10,L_Exit_Add,18353,1,914450,3160,0.35,3230,0.35,-1770,-0.19,-5510,-1.38,37
40,多頭進場,2022-01-11 23:05,L_Add,18289,1,914450,3160,0.35,3230,0.35,-1770,-0.19,-5510,-1.38,37
41,多頭出場,2022-01-12 03:05,L_Exit_G,18358,1,916200,1660,0.18,1880,0.21,-170,-0.02,-3850,-0.96,34
41,多頭進場,2022-01-12 00:15,L_Add,18324,1,916200,1660,0.18,1880,0.21,-170,-0.02,-3850,-0.96,34
42,多頭出場,2022-01-12 03:45,L_Exit_G,18376,1,916450,2310,0.25,2380,0.26,-420,-0.05,-1540,-0.38,41
42,多頭進場,2022-01-12 00:20,L_Add,18329,1,916450,2310,0.25,2380,0.26,-420,-0.05,-1540,-0.38,41
43,多頭出場,2022-01-12 03:45,L_Exit_G,18376,1,917000,1760,0.19,1830,0.20,-970,-0.11,240,0.06,37
43,多頭進場,2022-01-12 00:40,L_G_進,18340,1,917000,1760,0.19,1830,0.20,-970,-0.11,240,0.06,37
44,多頭出場,2022-01-12 03:55,L_Exit_Add,18381,1,917900,1110,0.12,1180,0.13,-570,-0.06,1350,0.34,10
44,多頭進場,2022-01-12 03:05,L_G_進,18358,1,917900,1110,0.12,1180,0.13,-570,-0.06,1350,0.34,10
45,多頭出場,2022-01-12 03:55,L_Exit_Add,18381,1,918000,1010,0.11,1080,0.12,-320,-0.03,2380,0.60,7
45,多頭進場,2022-01-12 03:20,L_G_進,18360,1,918000,1010,0.11,1080,0.12,-320,-0.03,2380,0.60,7
46,多頭出場,2022-01-12 08:45,L_Exit_Add,18416,1,918900,1860,0.20,1930,0.21,-320,-0.03,4260,1.07,13
46,多頭進場,2022-01-12 03:55,L_Add,18378,1,918900,1860,0.20,1930,0.21,-320,-0.03,4260,1.07,13
47,多頭出場,2022-01-12 12:45,L_Cmd_Fast,18316,1,916550,-790,-0.09,180,0.02,-770,-0.08,3470,0.87,1
47,多頭進場,2022-01-12 12:40,L_Cmd,18331,1,916550,-790,-0.09,180,0.02,-770,-0.08,3470,0.87,1
48,多頭出場,2022-01-12 20:00,L_Cmd_Fast,18375,1,918000,710,0.08,1680,0.18,-370,-0.04,4180,1.05,64
48,多頭進場,2022-01-12 13:30,L_Cmd,18360,1,918000,710,0.08,1680,0.18,-370,-0.04,4180,1.05,64
49,多頭出場,2022-01-12 23:40,L_Cmd_Fast,18407,1,921500,-1190,-0.13,730,0.08,-1270,-0.14,2970,0.74,13
49,多頭進場,2022-01-12 22:35,L_Cmd,18430,1,921500,-1190,-0.13,730,0.08,-1270,-0.14,2970,0.74,13
50,多頭出場,2022-01-13 00:05,L_Exit_Add,18387,1,922150,-2840,-0.31,80,0.01,-2820,-0.31,150,0.04,13
50,多頭進場,2022-01-12 23:00,L_Add,18443,1,922150,-2840,-0.31,80,0.01,-2820,-0.31,150,0.04,13
51,多頭出場,2022-01-13 01:10,L_Cmd_Fast,18399,1,921050,-1140,-0.12,30,0.00,-1220,-0.13,-990,-0.25,3
51,多頭進場,2022-01-13 00:55,L_Cmd,18421,1,921050,-1140,-0.12,30,0.00,-1220,-0.13,-990,-0.25,3
52,多頭出場,2022-01-13 22:30,L_Exit,18602,1,928450,1610,0.17,1680,0.18,-120,-0.01,560,0.14,15
52,多頭進場,2022-01-13 21:15,L_Cmd,18569,1,928450,1610,0.17,1680,0.18,-120,-0.01,560,0.14,15
53,多頭出場,2022-01-13 22:30,L_Exit_Add,18602,1,929000,1060,0.11,1130,0.12,-470,-0.05,1640,0.41,11
53,多頭進場,2022-01-13 21:35,L_Add,18580,1,929000,1060,0.11,1130,0.12,-470,-0.05,1640,0.41,11
54,多頭出場,2022-01-13 22:30,L_Exit_G,18602,1,929200,860,0.09,930,0.10,-670,-0.07,2520,0.63,8
54,多頭進場,2022-01-13 21:50,L_Add,18584,1,929200,860,0.09,930,0.10,-670,-0.07,2520,0.63,8
55,多頭出場,2022-01-13 22:35,L_Exit_Add,18620,1,929250,1710,0.18,1780,0.19,-720,-0.08,4230,1.06,8
55,多頭進場,2022-01-13 21:55,L_G_進,18585,1,929250,1710,0.18,1780,0.19,-720,-0.08,4230,1.06,8
56,多頭出場,2022-01-13 22:50,L_Exit_Add,18642,1,929700,2360,0.25,2430,0.26,-220,-0.02,6550,1.64,3
56,多頭進場,2022-01-13 22:35,L_Add,18594,1,929700,2360,0.25,2430,0.26,-220,-0.02,6550,1.64,3
57,多頭出場,2022-01-13 22:50,L_Exit_G,18642,1,930950,1110,0.12,1180,0.13,-670,-0.07,7680,1.92,2
57,多頭進場,2022-01-13 22:40,L_Add,18619,1,930950,1110,0.12,1180,0.13,-670,-0.07,7680,1.92,2
58,多頭出場,2022-01-13 23:30,L_Exit_Add,18585,1,931050,-1840,-0.20,1430,0.15,-1820,-0.20,5820,1.46,9
58,多頭進場,2022-01-13 22:45,L_Add,18621,1,931050,-1840,-0.20,1430,0.15,-1820,-0.20,5820,1.46,9
59,多頭出場,2022-01-13 23:35,L_G_Cut,18591,1,931100,-1590,-0.17,1380,0.15,-2020,-0.22,4250,1.06,9
59,多頭進場,2022-01-13 22:50,L_G_進,18622,1,931100,-1590,-0.17,1380,0.15,-2020,-0.22,4250,1.06,9
60,多頭出場,2022-01-13 23:50,L_Exit_Add,18565,1,932050,-3840,-0.41,430,0.05,-3820,-0.41,430,0.11,11
60,多頭進場,2022-01-13 22:55,L_Add,18641,1,932050,-3840,-0.41,430,0.05,-3820,-0.41,430,0.11,11
61,多頭出場,2022-01-13 23:50,L_Exit_Add,18563,1,932100,-3990,-0.43,180,0.02,-3970,-0.43,-3540,-0.88,10
61,多頭進場,2022-01-13 23:00,L_G_進,18642,1,932100,-3990,-0.43,180,0.02,-3970,-0.43,-3540,-0.88,10
62,多頭出場,2022-01-14 01:05,L_Cmd_Fast,18585,1,930200,-990,-0.11,780,0.08,-1020,-0.11,-4530,-1.13,6
62,多頭進場,2022-01-14 00:35,L_Cmd,18604,1,930200,-990,-0.11,780,0.08,-1020,-0.11,-4530,-1.13,6
63,空頭出場,2022-01-14 12:10,S_Cmd_Fast,18344,1,913400,-3840,-0.42,2430,0.27,-4020,-0.44,-8370,-2.09,29
63,空頭進場,2022-01-14 09:45,S_Cmd,18268,1,913400,-3840,-0.42,2430,0.27,-4020,-0.44,-8370,-2.09,29
64,多頭出場,2022-01-15 01:50,L_Cmd_Fast,18378,1,920800,-1940,-0.21,1280,0.14,-2120,-0.23,-10310,-2.58,34
64,多頭進場,2022-01-14 23:00,L_Cmd,18416,1,920800,-1940,-0.21,1280,0.14,-2120,-0.23,-10310,-2.58,34
65,多頭出場,2022-01-15 03:30,L_Cmd_Fast,18386,1,920200,-940,-0.10,180,0.02,-920,-0.10,-11250,-2.81,4
65,多頭進場,2022-01-15 03:10,L_Cmd,18404,1,920200,-940,-0.10,180,0.02,-920,-0.10,-11250,-2.81,4
66,多頭出場,2022-01-18 11:40,L_Cmd_Fast,18519,1,927050,-1140,-0.12,2080,0.22,-1520,-0.16,-12410,-3.10,24
66,多頭進場,2022-01-18 09:40,L_Cmd,18541,1,927050,-1140,-0.12,2080,0.22,-1520,-0.16,-12410,-3.10,24
67,多頭出場,2022-01-18 12:20,L_Exit_Add,18477,1,928550,-4740,-0.51,580,0.06,-4720,-0.51,-17130,-4.28,31
67,多頭進場,2022-01-18 09:45,L_Add,18571,1,928550,-4740,-0.51,580,0.06,-4720,-0.51,-17130,-4.28,31
68,空頭出場,2022-01-18 17:15,S_Exit,18280,1,917400,3360,0.37,3430,0.37,-20,0.00,-13770,-3.44,28
68,空頭進場,2022-01-18 13:45,S_Cmd,18348,1,917400,3360,0.37,3430,0.37,-20,0.00,-13770,-3.44,28
69,空頭出場,2022-01-18 23:10,S_Cmd_Fast,18300,1,914300,-740,-0.08,1080,0.12,-920,-0.10,-14530,-3.63,7
69,空頭進場,2022-01-18 22:35,S_Cmd,18286,1,914300,-740,-0.08,1080,0.12,-920,-0.10,-14530,-3.63,7
70,空頭出場,2022-01-19 01:45,S_Exit_Add,18239,1,913650,1660,0.18,1730,0.19,-2070,-0.23,-12850,-3.21,35
70,空頭進場,2022-01-18 22:50,S_Add,18273,1,913650,1660,0.18,1730,0.19,-2070,-0.23,-12850,-3.21,35
71,空頭出場,2022-01-19 08:45,S_Exit,18194,1,911700,1960,0.21,2030,0.22,-820,-0.09,-10910,-2.73,8
71,空頭進場,2022-01-19 04:20,S_Cmd,18234,1,911700,1960,0.21,2030,0.22,-820,-0.09,-10910,-2.73,8
72,空頭出場,2022-01-19 09:05,S_Exit_Add,18271,1,910950,-2640,-0.29,1480,0.16,-2620,-0.29,-13530,-3.38,7
72,空頭進場,2022-01-19 04:45,S_Add,18219,1,910950,-2640,-0.29,1480,0.16,-2620,-0.29,-13530,-3.38,7
73,空頭出場,2022-01-19 11:45,S_Exit,18163,1,911150,2960,0.32,3030,0.33,-820,-0.09,-10610,-2.65,7
73,空頭進場,2022-01-19 11:10,S_Cmd,18223,1,911150,2960,0.32,3030,0.33,-820,-0.09,-10610,-2.65,7
74,空頭出場,2022-01-19 15:00,S_Exit_G,18161,1,910250,2160,0.24,3130,0.34,-870,-0.10,-8470,-2.12,27
74,空頭進場,2022-01-19 11:30,S_Add,18205,1,910250,2160,0.24,3130,0.34,-870,-0.10,-8470,-2.12,27
75,空頭出場,2022-01-19 15:00,S_Exit_Add,18137,1,909650,2760,0.30,2830,0.31,-1470,-0.16,-5690,-1.42,24
75,空頭進場,2022-01-19 11:45,S_Add,18193,1,909650,2760,0.30,2830,0.31,-1470,-0.16,-5690,-1.42,24
76,空頭出場,2022-01-19 17:45,Trend Rev,18218,1,908400,-2540,-0.28,1580,0.17,-2720,-0.30,-8210,-2.05,56
76,空頭進場,2022-01-19 11:50,S_Add,18168,1,908400,-2540,-0.28,1580,0.17,-2720,-0.30,-8210,-2.05,56
77,空頭出場,2022-01-19 17:45,Trend Rev,18218,1,908250,-2690,-0.30,1430,0.16,-2720,-0.30,-10880,-2.72,35
77,空頭進場,2022-01-19 13:35,S_G_進,18165,1,908250,-2690,-0.30,1430,0.16,-2720,-0.30,-10880,-2.72,35
78,空頭出場,2022-01-20 00:55,S_G_Cut,18212,1,910600,-40,0.00,1630,0.18,-220,-0.02,-10980,-2.74,17
78,空頭進場,2022-01-19 23:30,S_Cmd,18212,1,910600,-40,0.00,1630,0.18,-220,-0.02,-10980,-2.74,17
79,空頭出場,2022-01-20 00:55,S_Cmd_Fast,18212,1,909800,-840,-0.09,830,0.09,-1020,-0.11,-11800,-2.95,15
79,空頭進場,2022-01-19 23:40,S_Add,18196,1,909800,-840,-0.09,830,0.09,-1020,-0.11,-11800,-2.95,15
80,空頭出場,2022-01-20 01:05,Trend Rev,18217,1,909550,-1340,-0.15,580,0.06,-1620,-0.18,-13120,-3.28,15
80,空頭進場,2022-01-19 23:50,S_Add,18191,1,909550,-1340,-0.15,580,0.06,-1620,-0.18,-13120,-3.28,15
81,空頭出場,2022-01-20 01:05,Trend Rev,18217,1,909350,-1540,-0.17,380,0.04,-1820,-0.20,-14640,-3.66,10
81,空頭進場,2022-01-20 00:15,S_G_進,18187,1,909350,-1540,-0.17,380,0.04,-1820,-0.20,-14640,-3.66,10
82,空頭出場,2022-01-20 04:15,S_Cmd_Fast,18208,1,909500,-940,-0.10,930,0.10,-1020,-0.11,-15600,-3.90,13
82,空頭進場,2022-01-20 03:10,S_Cmd,18190,1,909500,-940,-0.10,930,0.10,-1020,-0.11,-15600,-3.90,13
83,空頭出場,2022-01-20 08:50,S_Exit_Add,18163,1,908950,760,0.08,1230,0.14,-1870,-0.21,-14860,-3.72,20
83,空頭進場,2022-01-20 03:25,S_Add,18179,1,908950,760,0.08,1230,0.14,-1870,-0.21,-14860,-3.72,20
84,空頭出場,2022-01-20 09:05,S_G_Cut,18195,1,908400,-1390,-0.15,680,0.07,-2420,-0.27,-16270,-4.07,5
84,空頭進場,2022-01-20 04:55,S_Add,18168,1,908400,-1390,-0.15,680,0.07,-2420,-0.27,-16270,-4.07,5
85,空頭出場,2022-01-20 09:15,S_Exit_Add,18086,1,910150,5810,0.64,5880,0.65,-670,-0.07,-10440,-2.61,6
85,空頭進場,2022-01-20 08:45,S_Add,18203,1,910150,5810,0.64,5880,0.65,-670,-0.07,-10440,-2.61,6
86,空頭出場,2022-01-20 09:15,S_Exit_Add,18086,1,908200,3860,0.43,3930,0.43,-2370,-0.26,-6560,-1.64,4
86,空頭進場,2022-01-20 08:55,S_Add,18164,1,908200,3860,0.43,3930,0.43,-2370,-0.26,-6560,-1.64,4
87,空頭出場,2022-01-20 09:15,S_Exit_Add,18086,1,908350,4010,0.44,4080,0.45,-2220,-0.24,-2530,-0.63,3
87,空頭進場,2022-01-20 09:00,S_G_進,18167,1,908350,4010,0.44,4080,0.45,-2220,-0.24,-2530,-0.63,3
88,空頭出場,2022-01-20 22:45,Trend Rev,18228,1,910950,-490,-0.05,130,0.01,-720,-0.08,-3020,-0.75,1
88,空頭進場,2022-01-20 22:40,S_Cmd,18219,1,910950,-490,-0.05,130,0.01,-720,-0.08,-3020,-0.75,1
89,空頭出場,2022-01-21 03:45,S_Exit,18204,1,912050,1810,0.20,1880,0.21,-170,-0.02,-1250,-0.31,6
89,空頭進場,2022-01-21 03:15,S_Cmd,18241,1,912050,1810,0.20,1880,0.21,-170,-0.02,-1250,-0.31,6
90,空頭出場,2022-01-21 04:00,S_Exit_Add,18199,1,911500,1510,0.17,1580,0.17,-20,0.00,240,0.06,5
90,空頭進場,2022-01-21 03:35,S_Add,18230,1,911500,1510,0.17,1580,0.17,-20,0.00,240,0.06,5
91,空頭出場,2022-01-21 04:05,S_Exit_Add,18180,1,910950,1910,0.21,1980,0.22,-170,-0.02,2150,0.54,4
91,空頭進場,2022-01-21 03:45,S_Add,18219,1,910950,1910,0.21,1980,0.22,-170,-0.02,2150,0.54,4
92,空頭出場,2022-01-21 04:05,S_Exit_Add,18180,1,910600,1560,0.17,1630,0.18,-170,-0.02,3730,0.93,3
92,空頭進場,2022-01-21 03:50,S_Add,18212,1,910600,1560,0.17,1630,0.18,-170,-0.02,3730,0.93,3
93,空頭出場,2022-01-21 04:05,S_Exit_G,18180,1,910550,1510,0.17,1580,0.17,-170,-0.02,5260,1.32,2
93,空頭進場,2022-01-21 03:55,S_G_進,18211,1,910550,1510,0.17,1580,0.17,-170,-0.02,5260,1.32,2
94,空頭出場,2022-01-21 04:05,S_Exit_G,18180,1,910200,1160,0.13,1230,0.14,-120,-0.01,6440,1.61,0
94,空頭進場,2022-01-21 04:05,S_G_進,18204,1,910200,1160,0.13,1230,0.14,-120,-0.01,6440,1.61,0
95,空頭出場,2022-01-21 04:20,S_Exit,18140,1,909200,2160,0.24,2230,0.25,-370,-0.04,8580,2.15,2
95,空頭進場,2022-01-21 04:10,S_Cmd,18184,1,909200,2160,0.24,2230,0.25,-370,-0.04,8580,2.15,2
96,空頭出場,2022-01-21 04:30,S_Exit_Add,18114,1,908250,2510,0.28,2580,0.28,-20,0.00,11070,2.77,2
96,空頭進場,2022-01-21 04:20,S_Add,18165,1,908250,2510,0.28,2580,0.28,-20,0.00,11070,2.77,2
97,空頭出場,2022-01-21 04:50,S_Exit_Add,18096,1,907000,2160,0.24,2230,0.25,-70,-0.01,13210,3.30,5
97,空頭進場,2022-01-21 04:25,S_Add,18140,1,907000,2160,0.24,2230,0.25,-70,-0.01,13210,3.30,5
98,空頭出場,2022-01-21 04:50,S_Exit_Add,18044,1,906700,4460,0.49,4530,0.50,-20,0.00,17690,4.42,4
98,空頭進場,2022-01-21 04:30,S_Add,18134,1,906700,4460,0.49,4530,0.50,-20,0.00,17690,4.42,4
99,空頭出場,2022-01-21 04:50,S_Exit_Add,18044,1,906100,3860,0.43,3930,0.43,-20,0.00,21570,5.39,3
99,空頭進場,2022-01-21 04:35,S_Add,18122,1,906100,3860,0.43,3930,0.43,-20,0.00,21570,5.39,3
100,空頭出場,2022-01-21 04:50,S_Exit_G,18044,1,905650,3410,0.38,3480,0.38,-470,-0.05,25000,6.25,2
100,空頭進場,2022-01-21 04:40,S_G_進,18113,1,905650,3410,0.38,3480,0.38,-470,-0.05,25000,6.25,2
101,空頭出場,2022-01-21 09:20,S_Exit,17928,1,900150,3710,0.41,3780,0.42,-1570,-0.17,28670,7.17,4
101,空頭進場,2022-01-21 09:00,S_Cmd,18003,1,900150,3710,0.41,3780,0.42,-1570,-0.17,28670,7.17,4
102,空頭出場,2022-01-21 11:35,S_Exit_G,17874,1,898200,4460,0.50,4530,0.50,-2570,-0.29,33110,8.28,29
102,空頭進場,2022-01-21 09:10,S_Add,17964,1,898200,4460,0.50,4530,0.50,-2570,-0.29,33110,8.28,29
