交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
199,多頭出場,2022-03-24 22:20,L_Cmd_Fast,17644,1,883100,-940,-0.11,530,0.06,-1320,-0.15,59990,15.00
199,多頭進場,2022-03-24 22:05,L_Cmd,17662,1,883100,-940,-0.11,530,0.06,-1320,-0.15,59990,15.00
200,多頭出場,2022-03-25 08:45,L_Exit_Add,17708,1,885850,-490,-0.06,2180,0.25,-1470,-0.17,59460,14.87
200,多頭進場,2022-03-24 23:45,L_Cmd,17717,1,885850,-490,-0.06,2180,0.25,-1470,-0.17,59460,14.87
201,多頭出場,2022-03-25 08:45,L_Exit_Add,17703,1,887150,-2040,-0.23,880,0.10,-2020,-0.23,57440,14.36
201,多頭進場,2022-03-25 03:25,L_Add,17743,1,887150,-2040,-0.23,880,0.10,-2020,-0.23,57440,14.36
202,多頭出場,2022-03-25 08:50,L_Cmd_Fast,17696,1,887400,-2640,-0.30,630,0.07,-2720,-0.31,54820,13.71
202,多頭進場,2022-03-25 03:55,L_Add,17748,1,887400,-2640,-0.30,630,0.07,-2720,-0.31,54820,13.71
203,多頭出場,2022-03-28 08:45,Trend Rev,17519,1,881400,-5490,-0.62,530,0.06,-5470,-0.62,49330,12.33
203,多頭進場,2022-03-26 04:00,L_Cmd,17628,1,881400,-5490,-0.62,530,0.06,-5470,-0.62,49330,12.33
204,空頭出場,2022-03-29 00:00,S_Exit,17434,1,873900,2160,0.25,2230,0.26,-20,0.00,51450,12.86
204,空頭進場,2022-03-28 23:35,S_Cmd,17478,1,873900,2160,0.25,2230,0.26,-20,0.00,51450,12.86
205,空頭出場,2022-03-29 02:10,Trend Rev,17502,1,872300,-2840,-0.33,630,0.07,-2920,-0.33,48630,12.16
205,空頭進場,2022-03-28 23:50,S_Add,17446,1,872300,-2840,-0.33,630,0.07,-2920,-0.33,48630,12.16
206,空頭出場,2022-03-29 02:10,Trend Rev,17502,1,872150,-2990,-0.34,480,0.06,-3070,-0.35,45660,11.42
206,空頭進場,2022-03-29 00:00,S_Add,17443,1,872150,-2990,-0.34,480,0.06,-3070,-0.35,45660,11.42
207,多頭出場,2022-03-29 08:55,L_Cmd_Fast,17539,1,877800,-890,-0.10,1280,0.15,-1020,-0.12,44750,11.19
207,多頭進場,2022-03-29 03:15,L_Cmd,17556,1,877800,-890,-0.10,1280,0.15,-1020,-0.12,44750,11.19
208,多頭出場,2022-03-29 09:05,Trend Rev,17520,1,878500,-2540,-0.29,580,0.07,-2620,-0.30,42230,10.56
208,多頭進場,2022-03-29 03:35,L_Add,17570,1,878500,-2540,-0.29,580,0.07,-2620,-0.30,42230,10.56
209,多頭出場,2022-03-29 10:20,L_Cmd_Fast,17539,1,878000,-1090,-0.12,430,0.05,-1470,-0.17,41140,10.29
209,多頭進場,2022-03-29 09:55,L_Cmd,17560,1,878000,-1090,-0.12,430,0.05,-1470,-0.17,41140,10.29
210,空頭出場,2022-03-29 13:25,S_Cmd_Fast,17519,1,875000,-990,-0.11,780,0.09,-1270,-0.15,40150,10.04
210,空頭進場,2022-03-29 11:50,S_Cmd,17500,1,875000,-990,-0.11,780,0.09,-1270,-0.15,40150,10.04
